

    [info] Executing: |open | http://www.amazon.com/ | |
    [info] Executing: |select | id=searchDropdownBox | label=Clothing & Accessories |
    [info] Executing: |click | css=option[value="search-alias=apparel"] | |
    [info] Executing: |pause | 200 | |
    [info] Executing: |clickAndWait | css=input.nav-submit-input | |
    [info] Executing: |clickAndWait | link=Shoes | |
    [info] Executing: |clickAndWait | css=div.left_nav > ul > li > a | |
    [info] Executing: |clickAndWait | link=New Arrivals | |
    [info] Executing: |clickAndWait | css=span.lrg.bold | |
    [info] Executing: |click | id=dp | |
    [info] Executing: |select | id=native_dropdown_selected_size_name | label=11 B(M) US |
    [info] Executing: |click | id=native_size_name_12 | |
    [info] Executing: |clickAndWait | id=add-to-cart-button | |
    [info] Executing: |clickAndWait | link=Edit your Cart | |
    [info] Executing: |type | name=quantity.C10NBLZ1OQFRUX | 0 |
    [info] Executing: |click | id=remove-button-C10NBLZ1OQFRUX | | 

